# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.0780000000000016 , 30.9510319054211 , 31.0165812304238 , 45.4042575533961"		
"0.0781000000000016 , 31.0743732383164 , 31.011889584492 , 45.4061595587093"		
"0.0782000000000017 , 30.9277187152931 , 30.9254512388778 , 45.3796270540227"		
"0.0783000000000015 , 31.1070845230235 , 31.0620970986636 , 45.5557874462874"		
"0.0784000000000015 , 30.9911617946902 , 30.9887450929309 , 45.368831746636"		
"0.0785000000000015 , 31.1714376146099 , 31.1256026572616 , 45.6208899145829"		
"0.0786000000000016 , 31.071511693706 , 31.1277117118921 , 45.4708561536882"		
"0.0787000000000016 , 31.1480178636338 , 31.1671209190995 , 45.6836226681048"		
"0.0788000000000017 , 31.2111295146629 , 31.1382620173045 , 45.6704360498848"		
"0.0789000000000015 , 31.0038550222134 , 31.100352832578 , 45.6819448968367"		
"0.0790000000000015 , 31.3061573576075 , 31.2590758912415 , 45.7865075799807"		
"0.0791000000000015 , 31.0853515295056 , 31.0972556051507 , 45.6826474859739"		
"0.0792000000000016 , 31.3296983533324 , 31.3475509941881 , 45.8716134434486"		
"0.0793000000000016 , 31.2699063631773 , 31.2550562984366 , 45.8367095259815"		
"0.0794000000000016 , 31.3124698397223 , 31.3620587236997 , 45.967563234151"		
"0.0795000000000014 , 31.2998039071508 , 31.2526467498755 , 45.8483149957041"		
"0.0796000000000015 , 31.2761793703041 , 31.3006185887478 , 45.9645431277406"		
"0.0797000000000015 , 31.3527637502761 , 31.3971870039521 , 45.9641455693973"		
"0.0798000000000016 , 31.3504389768854 , 31.2872075140019 , 46.0433623047709"		
"0.0799000000000016 , 31.4257457566323 , 31.4744606236554 , 46.05416765331"		
"0.0800000000000016 , 31.4302688078 , 31.4044267454071 , 46.101284620582"		
"0.0801000000000017 , 31.4656628190682 , 31.4908909102597 , 46.1317013518393"		
"0.0802000000000015 , 31.4872130924772 , 31.4923078436697 , 46.2087147559193"		
"0.0803000000000015 , 31.4520635579856 , 31.4181160928 , 46.1162139100739"		
"0.0804000000000015 , 31.4764326566439 , 31.4795973945477 , 46.2286288218951"		
"0.0805000000000016 , 31.4728579394539 , 31.4693119345174 , 46.1694958015742"		
"0.0806000000000016 , 31.4908184965636 , 31.5012960259232 , 46.2631403838289"		
"0.0807000000000017 , 31.6211232200817 , 31.6124752086702 , 46.3712463344897"		
"0.0808000000000015 , 31.6625098417009 , 31.6698960072014 , 46.4572894789135"		
"0.0809000000000015 , 31.6026408532562 , 31.6519180154332 , 46.419328727976"		
"0.0810000000000015 , 31.6294120119246 , 31.6186941242596 , 46.4484276539515"		
"0.0811000000000016 , 31.6053084873283 , 31.6741015258365 , 46.4326694243878"		
"0.0812000000000016 , 31.692441522031 , 31.6723188254633 , 46.6075747415082"		
"0.0813000000000016 , 31.624560828322 , 31.6866891036212 , 46.4511772928329"		
"0.0814000000000014 , 31.7238532010035 , 31.6971209101472 , 46.6546172236434"		
"0.0815000000000015 , 31.6911332078147 , 31.6801903074281 , 46.5695181882989"		
"0.0816000000000015 , 31.7351277091345 , 31.6846236467819 , 46.6624972696943"		
"0.0817000000000015 , 31.8613797478036 , 31.8574762772314 , 46.7382022628067"		
"0.0818000000000016 , 31.871195405916 , 31.8249718912261 , 46.7175517079438"		
"0.0819000000000016 , 31.792559383955 , 31.8158176532463 , 46.7657471104351"		
"0.0820000000000017 , 31.785002784444 , 31.850326195751 , 46.7792971780674"		
"0.0821000000000015 , 31.8140975585587 , 31.8482390283274 , 46.8459449507156"		
"0.0822000000000015 , 31.8734673764662 , 31.9288961657695 , 46.8522427984367"		
"0.0823000000000015 , 31.8695747467422 , 31.9983017380775 , 46.9089572376149"		
"0.0824000000000016 , 31.9223315038538 , 31.9689511918577 , 47.0220044622732"		
"0.0825000000000016 , 31.9681609789984 , 31.9818437753304 , 46.9898656858893"		
"0.0826000000000016 , 31.9745221125155 , 31.9755110223205 , 46.9731541374586"		
"0.0827000000000015 , 32.0929375542668 , 32.0877567178152 , 47.1023376839944"		
"0.0828000000000015 , 31.9421409167438 , 31.9428864844743 , 47.0364458016662"		
"0.0829000000000015 , 32.0820277052016 , 32.1053548704472 , 47.1458754770213"		
"0.0830000000000016 , 32.102427027897 , 32.1130108194284 , 47.1595165232116"		
"0.0831000000000016 , 32.105493594316 , 32.1472118015826 , 47.3015861345226"		
"0.0832000000000016 , 32.1541586041965 , 32.1118082759856 , 47.2461967818816"		
"0.0833000000000014 , 32.1840315417881 , 32.2048755488988 , 47.2886570491289"		
"0.0834000000000015 , 32.1326548412769 , 32.1200764265857 , 47.2603167629414"		
"0.0835000000000015 , 32.2091115804272 , 32.2680566381471 , 47.3681018031811"		
"0.0836000000000015 , 32.1862635193532 , 32.1485952791432 , 47.3722088021767"		
"0.0837000000000016 , 32.2221892548594 , 32.2408735356634 , 47.3549701432645"		
"0.0838000000000016 , 32.1960636277287 , 32.1745064908927 , 47.4564957334462"		
"0.0839000000000017 , 32.2978809163614 , 32.3574043466913 , 47.4576736084612"		
"0.0840000000000015 , 32.3686187380718 , 32.3355925879613 , 47.5940247799316"		
"0.0841000000000015 , 32.2568898496512 , 32.3488551736896 , 47.5838092174729"		
"0.0842000000000015 , 32.3765787166648 , 32.4050023215736 , 47.6435502142242"		
"0.0843000000000016 , 32.180409669597 , 32.2373614911815 , 47.4816221485925"		
"0.0844000000000016 , 32.4194834921085 , 32.4598357235851 , 47.7710576474675"		
"0.0845000000000016 , 32.3420788923586 , 32.4052960382452 , 47.679879970636"		
"0.0846000000000014 , 32.4548701246802 , 32.443460273755 , 47.7340903201323"		
"0.0847000000000015 , 32.4467710975158 , 32.4534221957907 , 47.7172086710355"		
"0.0848000000000015 , 32.3583786225516 , 32.4208372099345 , 47.7326389268373"		
"0.0849000000000016 , 32.5036088493642 , 32.4244576586948 , 47.805475311453"		
"0.0850000000000016 , 32.521613685024 , 32.5750668661818 , 47.8805200483184"		
"0.0851000000000016 , 32.6364081116962 , 32.6008525906616 , 47.9984326785467"		
"0.0852000000000014 , 32.4978150103812 , 32.5499057811672 , 47.8633962025591"		
"0.0853000000000015 , 32.614488907074 , 32.614416219207 , 47.9442899092218"		
"0.0854000000000015 , 32.5208373071375 , 32.5083116192739 , 47.9296767811603"		
"0.0855000000000015 , 32.6066580603703 , 32.6396769533832 , 48.0075888186787"		
"0.0856000000000016 , 32.5992760516277 , 32.6852820344414 , 48.1725037914866"		
"0.0857000000000016 , 32.6068082121576 , 32.5988167841194 , 48.0191688781743"		
"0.0858000000000017 , 32.6587442522514 , 32.6467619332633 , 48.1870877062567"		
"0.0859000000000014 , 32.735675894781 , 32.7085790365372 , 48.1504806030856"		
"0.0860000000000015 , 32.6967643481001 , 32.670766517341 , 48.1773942709369"		
"0.0861000000000015 , 32.8139414564697 , 32.774083864585 , 48.2448108996101"		
"0.0862000000000016 , 32.689248461854 , 32.6754696884815 , 48.2572274065381"		
"0.0863000000000016 , 32.7334158425663 , 32.7066799666821 , 48.1620766060251"		
"0.0864000000000016 , 32.7203995995935 , 32.6574921297865 , 48.2525798291012"		
"0.0865000000000017 , 32.7909070994522 , 32.8111155532972 , 48.3792376004392"		
"0.0866000000000015 , 32.9056394197104 , 32.8569820376979 , 48.4533950878277"		
"0.0867000000000015 , 32.8753493286416 , 32.837598618197 , 48.4266083890441"		
"0.0868000000000016 , 32.8257011035702 , 32.8220050062091 , 48.4692849074585"		
"0.0869000000000016 , 32.9470833394085 , 32.9549995851847 , 48.5905915322129"		
"0.0870000000000016 , 32.84844565974 , 32.7892753778193 , 48.4614627248276"		
"0.0871000000000017 , 32.9176603980621 , 32.9519483998073 , 48.5612411361306"		
"0.0872000000000015 , 32.9160341358896 , 32.9017397742358 , 48.5751535336661"		
"0.0873000000000015 , 32.8997987726716 , 32.8977861512869 , 48.5865087533199"		
"0.0874000000000015 , 32.9738798966624 , 32.9381550842126 , 48.5753343163541"		
"0.0875000000000016 , 32.9792759402063 , 32.9925639414233 , 48.6161361054212"		
"0.0876000000000016 , 33.1187208373401 , 33.1327293780002 , 48.809203131809"		
"0.0877000000000017 , 33.0918050833653 , 32.997176484064 , 48.7069744253321"		
"0.0878000000000014 , 33.0178531989981 , 33.083614240369 , 48.8054927375992"		
"0.0879000000000015 , 33.2063930560822 , 33.1279646374432 , 48.9266377438198"		
"0.0880000000000015 , 33.1043599501257 , 33.1377409415073 , 48.9252097621427"		
"0.0881000000000016 , 33.1362054180467 , 33.2030930622331 , 48.9507562012343"		
"0.0882000000000016 , 33.1666224317455 , 33.1758880367135 , 48.936588968076"		
"0.0883000000000016 , 33.1818374201824 , 33.180859734779 , 48.9678535704457"		
"0.0884000000000017 , 33.1975661847173 , 33.2742446548228 , 48.9736240064855"		
"0.0885000000000015 , 33.1783554954124 , 33.0966590597527 , 48.9335061982186"		
"0.0886000000000015 , 33.2755214409232 , 33.3376692979221 , 49.162667249993"		
"0.0887000000000016 , 33.2974717303856 , 33.2103981098729 , 49.1542542279298"		
"0.0888000000000016 , 33.2227061854994 , 33.1809460127102 , 49.0512826137518"		
"0.0889000000000016 , 33.3547261604902 , 33.4254252039368 , 49.248627659344"		
"0.0890000000000017 , 33.2955447042447 , 33.2919277730305 , 49.2560479978361"		
"0.0891000000000015 , 33.3894552135251 , 33.3959629029636 , 49.2575632872731"		
"0.0892000000000015 , 33.3403882606902 , 33.3312785743037 , 49.34360199765"		
"0.0893000000000015 , 33.4284366866385 , 33.4584383162754 , 49.321432754875"		
"0.0894000000000016 , 33.407673388051 , 33.4107959976982 , 49.4040551920465"		
"0.0895000000000016 , 33.3761369489108 , 33.3901111387674 , 49.3313716430652"		
"0.0896000000000017 , 33.4715250281682 , 33.4516657683169 , 49.3960214581935"		
"0.0897000000000014 , 33.508840798993 , 33.4123941537558 , 49.5084016303171"		
"0.0898000000000015 , 33.4624641594973 , 33.4827533974011 , 49.5304713585618"		
"0.0899000000000015 , 33.550344499707 , 33.5221447676667 , 49.5748313180546"		
"0.0900000000000016 , 33.4436971392653 , 33.4877244297662 , 49.5491899310621"		
"0.0901000000000016 , 33.5369901159065 , 33.4491748003154 , 49.5099099909498"		
"0.0902000000000016 , 33.5570250158362 , 33.5255317095032 , 49.6496281786184"		
"0.0903000000000017 , 33.5523312995453 , 33.5624123161242 , 49.6805843485244"		
"0.0904000000000015 , 33.624974780975 , 33.6183015952649 , 49.6884651327663"		
"0.0905000000000015 , 33.5052321854487 , 33.6294374091048 , 49.6911373914615"		
"0.0906000000000015 , 33.6364322656227 , 33.5466736109397 , 49.7120005350771"		
"0.0907000000000016 , 33.7984178530763 , 33.7963596358115 , 49.922901028068"		
"0.0908000000000016 , 33.6452417485908 , 33.6356282297558 , 49.7821175353465"		
"0.0909000000000017 , 33.6988196123519 , 33.8049789447213 , 49.8835285958615"		
"0.0910000000000015 , 33.6488013294273 , 33.6170206060803 , 49.7560799710902"		
"0.0911000000000015 , 33.6270163189197 , 33.665700590488 , 49.770990009762"		
"0.0912000000000015 , 33.7025111375201 , 33.7699208379667 , 49.9264022358476"		
"0.0913000000000016 , 33.799168238178 , 33.6810545772547 , 49.9864362932756"		
"0.0914000000000016 , 33.7662168468132 , 33.7744032045236 , 50.0325312991123"		
"0.0915000000000016 , 33.7352904924616 , 33.717661582959 , 49.9418192484001"		
"0.0916000000000014 , 33.7540674738992 , 33.7982345860674 , 50.086543336505"		
"0.0917000000000015 , 33.9529964032925 , 33.854785460814 , 50.1961578246873"		
"0.0918000000000015 , 33.8258444415988 , 33.8336565408129 , 50.0997610678635"		
"0.0919000000000016 , 33.8721719801992 , 33.8975714449683 , 50.1693757438247"		
"0.0920000000000016 , 33.869497101016 , 33.8932434625231 , 50.2129908444586"		
"0.0921000000000016 , 33.9920004239411 , 33.9669601356082 , 50.3446945226133"		
"0.0922000000000017 , 33.9372204432952 , 33.9535023014914 , 50.316192990662"		
"0.0923000000000015 , 33.8957637829671 , 33.9487386459643 , 50.278071914248"		
"0.0924000000000015 , 34.0735105182825 , 34.0321582865437 , 50.4655034721099"		
"0.0925000000000015 , 33.8973574957751 , 33.9292735366188 , 50.2651630161983"		
"0.0926000000000016 , 34.0855939682278 , 34.011525344779 , 50.369970010853"		
"0.0927000000000016 , 33.9977931813118 , 33.9743887199718 , 50.4527370270746"		
"0.0928000000000017 , 34.0848219766697 , 34.0972029658435 , 50.5479157949794"		
"0.0929000000000015 , 34.1981933620965 , 34.0869107328895 , 50.590305972896"		
"0.0930000000000015 , 34.0649247605269 , 34.1726074958293 , 50.652188943193"		
"0.0931000000000015 , 34.1475663878342 , 34.1055293884262 , 50.512024972734"		
"0.0932000000000016 , 34.1184513787089 , 34.1134523894678 , 50.5857950317163"		
"0.0933000000000016 , 34.1288599770696 , 34.1614913690064 , 50.6635518555144"		
"0.0934000000000016 , 34.2266765124299 , 34.1429328084627 , 50.6886781476875"		
"0.0935000000000014 , 34.0413866996203 , 34.1438328143462 , 50.5859191422922"		
"0.0936000000000015 , 34.3204712954303 , 34.2713628200235 , 50.9210401549519"		
"0.0937000000000015 , 34.213176947236 , 34.1575008003811 , 50.7564148767227"		
"0.0938000000000015 , 34.3246980752929 , 34.3108536143432 , 50.8951966774072"		
"0.0939000000000016 , 34.2352174757834 , 34.2380976063212 , 50.7983696832961"		
"0.0940000000000016 , 34.3350482261511 , 34.3149076536835 , 50.8507727839334"		
"0.0941000000000017 , 34.3040260471934 , 34.3245303596762 , 50.9170301906068"		
"0.0942000000000015 , 34.3634446057169 , 34.3783838275518 , 50.9145144248152"		
"0.0943000000000015 , 34.3590075965094 , 34.2993379225238 , 51.0550643061562"		
"0.0944000000000015 , 34.3652097831443 , 34.3582456701645 , 51.0217324407474"		
"0.0945000000000016 , 34.4522530990459 , 34.450377535191 , 51.1196820904338"		
"0.0946000000000016 , 34.3237076619685 , 34.2685398441829 , 50.9459230880088"		
"0.0947000000000017 , 34.4172439977974 , 34.4343366338658 , 51.0511381663245"		
"0.0948000000000017 , 34.345765874539 , 34.3367136770424 , 51.1646720062794"		
"0.0949000000000015 , 34.4679654371568 , 34.5246280337642 , 51.2300715952166"		
"0.0950000000000015 , 34.4236788448934 , 34.3244272331173 , 51.1163126474768"		
"0.0951000000000016 , 34.5054869420252 , 34.5293359510037 , 51.27111149742"		
"0.0952000000000016 , 34.5232601672435 , 34.5433140322554 , 51.2797096707989"		
"0.0953000000000016 , 34.6038572326843 , 34.5877505854309 , 51.3345787707062"		
"0.0954000000000017 , 34.5374229873751 , 34.4801692693943 , 51.3501818294702"		
"0.0955000000000015 , 34.5920638769243 , 34.5256371821021 , 51.3854717933301"		
"0.0956000000000015 , 34.6168104969707 , 34.6136052883052 , 51.3682493580555"		
"0.0957000000000015 , 34.597467136337 , 34.6283893406078 , 51.444963915522"		
"0.0958000000000016 , 34.6488400935464 , 34.6470989188974 , 51.4907948681038"		
"0.0959000000000016 , 34.6197624701561 , 34.6300285292026 , 51.4704774572174"		
"0.0960000000000017 , 34.6084690518043 , 34.6498617680239 , 51.4733658849123"		
"0.0961000000000015 , 34.7635341788819 , 34.7314682372493 , 51.6099119942184"		
"0.0962000000000015 , 34.644419720343 , 34.6867337046811 , 51.5754975483224"		
"0.0963000000000015 , 34.9178615799468 , 34.8289694245136 , 51.7442589746313"		
"0.0964000000000016 , 34.7111837161967 , 34.6693272332339 , 51.5910096065125"		
"0.0965000000000016 , 34.8070970073574 , 34.7808706833876 , 51.6729816351532"		
"0.0966000000000017 , 34.6734053349934 , 34.7431327557284 , 51.7299183325776"		
"0.0967000000000017 , 34.8823575716528 , 34.8137939751743 , 51.8271133062595"		
"0.0968000000000015 , 34.7332562989915 , 34.8840194357294 , 51.8410282289442"		
"0.0969000000000015 , 34.9034733465569 , 34.8510888667645 , 51.8374543972596"		
"0.0970000000000016 , 34.7796234509661 , 34.8831021579521 , 51.8654621911847"		
"0.0971000000000016 , 34.9671611740282 , 34.9924525698368 , 52.0352407748962"		
"0.0972000000000016 , 34.9535483246085 , 34.9465870036079 , 51.9340226776923"		
"0.0973000000000014 , 34.9000936106724 , 34.9231750089561 , 51.9882892960972"		
"0.0974000000000015 , 34.9888353395136 , 34.9657535587732 , 52.0165766978975"		
"0.0975000000000015 , 34.9879614935552 , 35.00637912874 , 52.0670103932055"		
"0.0976000000000015 , 34.9965862743471 , 35.0136486543032 , 52.1831622938534"		
"0.0977000000000016 , 34.9453133241288 , 34.9226129049605 , 51.952293028191"		
"0.0978000000000016 , 34.9386403657809 , 34.9672250086671 , 52.0731952496073"		
"0.0979000000000017 , 35.0106492793411 , 34.9772633584734 , 52.1993795329648"		
"0.0980000000000015 , 34.989457844008 , 34.9661900180272 , 52.1354706617802"		
"0.0981000000000015 , 35.1183780377363 , 35.141244768946 , 52.2968726372034"		
"0.0982000000000015 , 35.0040085459888 , 34.8951179979655 , 52.1538688320878"		
"0.0983000000000016 , 35.1453224470866 , 35.2049479505897 , 52.3501028170681"		
"0.0984000000000016 , 35.030987349282 , 35.0615011281479 , 52.2519877278581"		
"0.0985000000000016 , 35.1486222292797 , 35.1660996531316 , 52.3407404073224"		
"0.0986000000000017 , 35.1383401131106 , 35.2312469875185 , 52.4174456817915"		
"0.0987000000000015 , 35.0362982486976 , 35.1129311524479 , 52.317392376234"		
"0.0988000000000015 , 35.3024977710826 , 35.2263509224982 , 52.5637846236658"		
"0.0989000000000016 , 35.0713271715818 , 35.1448450257814 , 52.3802888394164"		
"0.0990000000000016 , 35.2816297818976 , 35.186681520296 , 52.5408410332074"		
"0.0991000000000016 , 35.2532130361235 , 35.2448340648867 , 52.5962123647824"		
"0.0992000000000017 , 35.2575242809415 , 35.2620436073953 , 52.5441426813398"		
"0.0993000000000015 , 35.1659805359075 , 35.2106307085997 , 52.5272284960855"		
"0.0994000000000015 , 35.30484657888 , 35.2598574811193 , 52.5861159850546"		
"0.0995000000000015 , 35.2444565064029 , 35.2408799456543 , 52.7024196474034"		
"0.0996000000000016 , 35.3134138314353 , 35.2970390508613 , 52.5566460826884"		
"0.0997000000000016 , 35.2093670858273 , 35.2587355809979 , 52.6794825952531"		
"0.0998000000000017 , 35.3054155846595 , 35.2780689536634 , 52.7050378203547"		
"0.0999000000000015 , 35.41220243188 , 35.4041422380737 , 52.8075556607539"		
"0.100000000000001 , 35.3459997639607 , 35.3198868428156 , 52.7679934186142"		
"0.100100000000002 , 35.5464623486689 , 35.5627376908411 , 53.0435964072729"		
"0.100200000000002 , 35.3532369818431 , 35.3594458651669 , 52.8067985817981"		
"0.100300000000002 , 35.4933727375847 , 35.5017509961069 , 52.9473590934594"		
"0.100400000000002 , 35.396659866813 , 35.3913113814285 , 52.9272438777398"		
"0.100500000000002 , 35.5753365893738 , 35.6037890063811 , 53.0742285248856"		
"0.100600000000001 , 35.5954692857981 , 35.5643645578257 , 53.1025061734704"		
"0.100700000000002 , 35.444035494786 , 35.4391614907306 , 52.9898781461846"		
"0.100800000000002 , 35.5304271989393 , 35.4531954968337 , 53.0346501607191"		
"0.100900000000002 , 35.471249661256 , 35.5269166023949 , 53.0433986313907"		
"0.101000000000002 , 35.5183284413219 , 35.569853018907 , 53.1603724244043"		
"0.101100000000002 , 35.6062735432304 , 35.5646709923421 , 53.1956871179441"		
"0.101200000000001 , 35.5934743513087 , 35.5684347006778 , 53.2364867002951"		
"0.101300000000001 , 35.643748527767 , 35.6595292275672 , 53.18803049039"		
"0.101400000000002 , 35.5688340308791 , 35.5153023429347 , 53.1937408181401"		
"0.101500000000002 , 35.7110597174643 , 35.7383786720481 , 53.3209157393782"		
"0.101600000000002 , 35.5816297290318 , 35.6251981452137 , 53.2968723857755"		
"0.101700000000002 , 35.7411057382453 , 35.7159885585246 , 53.4610606977627"		
"0.101800000000001 , 35.5652221829571 , 35.6031165319279 , 53.184940761068"		
"0.101900000000001 , 35.7177453296304 , 35.7526794424567 , 53.379686131083"		
"0.102000000000002 , 35.6703379953425 , 35.6503020663461 , 53.4745602639425"		
"0.102100000000002 , 35.8375923303251 , 35.846083333862 , 53.5611013083433"		
"0.102200000000002 , 35.7624126612916 , 35.7335794804723 , 53.4761998892458"		
"0.102300000000002 , 35.7431552639561 , 35.7530757951029 , 53.4030567672288"		
"0.102400000000002 , 35.8081291748057 , 35.8087281802848 , 53.5884561041385"		
"0.102500000000001 , 35.7516613070074 , 35.8076574154921 , 53.5655306515936"		
"0.102600000000002 , 35.9548680210796 , 35.9340527588707 , 53.7636912843924"		
"0.102700000000002 , 35.9090802642244 , 35.9242107210484 , 53.6807775844991"		
"0.102800000000002 , 35.7685679031241 , 35.8123442461195 , 53.6496418417844"		
"0.102900000000002 , 35.9249809441942 , 35.8996139152635 , 53.690744691716"		
"0.103000000000002 , 35.8030226400403 , 35.7769362925046 , 53.6279283400969"		
"0.103100000000002 , 35.9579737490282 , 36.0494515639882 , 53.875295500401"		
"0.103200000000001 , 35.8875318135411 , 35.8744740148084 , 53.7222155862571"		
"0.103300000000002 , 35.9002319151899 , 35.9462571656332 , 53.8067434544362"		
"0.103400000000002 , 35.9188828102875 , 35.9443176266654 , 53.848053019391"		
"0.103500000000002 , 36.0157921912268 , 35.9645325643863 , 53.9693424096413"		
"0.103600000000002 , 36.0389171040346 , 35.9859446514232 , 53.9461440019368"		
"0.103700000000002 , 36.0311151683541 , 35.9879613040329 , 54.0521961024112"		
"0.103800000000001 , 35.9931186781639 , 35.9979096288856 , 53.9424692247667"		
"0.103900000000002 , 35.9226149837803 , 35.8993999106348 , 53.8340087525368"		
"0.104000000000002 , 36.0627640857887 , 36.0833803799199 , 54.0692904365516"		
"0.104100000000002 , 36.0336908140832 , 36.0458082638325 , 54.0270114349344"		
"0.104200000000002 , 36.0721710722444 , 36.0345083759831 , 54.0581341442706"		
"0.104300000000002 , 36.114716579793 , 36.1067641009727 , 54.1514624108654"		
"0.104400000000001 , 36.1616587546777 , 36.1877283777982 , 54.2051970173041"		
"0.104500000000002 , 36.0326947079461 , 36.0706979541235 , 54.1043868841572"		
"0.104600000000002 , 36.0271839959554 , 36.067546320047 , 54.2321754450914"		
"0.104700000000002 , 36.1386555663857 , 36.166276756841 , 54.1988025709979"		
"0.104800000000002 , 36.190742413528 , 36.1917718516336 , 54.3464525022949"		
"0.104900000000002 , 36.2143006008732 , 36.2161231725944 , 54.3691557647234"		
"0.105000000000002 , 36.3312956888888 , 36.2693159216929 , 54.4565531169996"		
"0.105100000000001 , 36.3301671433719 , 36.3557614252926 , 54.5172696262563"		
"0.105200000000002 , 36.274689906954 , 36.2490970202682 , 54.4057816609314"		
"0.105300000000002 , 36.1732436940339 , 36.141145439631 , 54.3693159350081"		
"0.105400000000002 , 36.2478134754383 , 36.3140857914388 , 54.470874582312"		
"0.105500000000002 , 36.2865074652247 , 36.2690545562765 , 54.4709299196676"		
"0.105600000000002 , 36.2711123653727 , 36.2994809232053 , 54.516057171365"		
"0.105700000000001 , 36.3763771533394 , 36.4209828153211 , 54.589467309423"		
"0.105800000000002 , 36.4811157385559 , 36.3799357296491 , 54.6919266275516"		
"0.105900000000002 , 36.2840500985058 , 36.3981816660839 , 54.6391441412687"		
"0.106000000000002 , 36.453729512822 , 36.4727476098732 , 54.7046088943329"		
"0.106100000000002 , 36.332147479241 , 36.3868821218319 , 54.6626804476959"		
"0.106200000000002 , 36.5373676659682 , 36.5055347836296 , 54.789086775576"		
"0.106300000000001 , 36.3805290293487 , 36.4139478056814 , 54.7420225944151"		
"0.106400000000002 , 36.4614719333314 , 36.5138857268676 , 54.8394327898231"		
"0.106500000000002 , 36.4202611073151 , 36.3900461235811 , 54.8178328722057"		
"0.106600000000002 , 36.5974344941389 , 36.5460847748445 , 54.9030696219086"		
"0.106700000000002 , 36.5000594534928 , 36.6082630296743 , 54.9442464321812"		
"0.106800000000002 , 36.496437969842 , 36.4620059159647 , 54.866128587443"		
"0.106900000000002 , 36.6104356027908 , 36.5934070971483 , 55.0457178319783"		
"0.107000000000001 , 36.3913845033116 , 36.3899453660339 , 54.8034013989727"		
"0.107100000000002 , 36.5682859735843 , 36.5981814035864 , 55.0204043756074"		
"0.107200000000002 , 36.5270007209531 , 36.534358028332 , 54.9218591877691"		
"0.107300000000002 , 36.6483628272444 , 36.6018962717207 , 55.0853625926723"		
"0.107400000000002 , 36.6134228804261 , 36.6390999440118 , 55.1206848473088"		
"0.107500000000002 , 36.7252034152667 , 36.7323561634478 , 55.2925370578767"		
"0.107600000000001 , 36.6362987042164 , 36.6710729584858 , 55.1792871892211"		
"0.107700000000002 , 36.6821270595373 , 36.6691446367551 , 55.2185876054626"		
"0.107800000000002 , 36.7238287277897 , 36.6740161226104 , 55.21731325102"		
"0.107900000000002 , 36.6275064113767 , 36.6703634228686 , 55.2311274541469"		
"0.108000000000002 , 36.7531591148514 , 36.7301136511523 , 55.3650086327566"		
"0.108100000000002 , 36.7761378435124 , 36.7571015794631 , 55.2606770165744"		
"0.108200000000001 , 36.802029352733 , 36.7757382999577 , 55.4623578811874"		
"0.108300000000002 , 36.7520080617199 , 36.7440681509592 , 55.3129335991966"		
"0.108400000000002 , 36.6437437666637 , 36.6710165070143 , 55.3230026265768"		
"0.108500000000002 , 36.81888729842 , 36.8388456471309 , 55.4278749965"		
"0.108600000000002 , 36.7425593020424 , 36.7810794290221 , 55.4766353437194"		
"0.108700000000002 , 36.7959022190277 , 36.8359063964293 , 55.4003496781683"		
"0.108800000000002 , 36.9097271590199 , 36.9182135896536 , 55.5965528088517"		
"0.108900000000001 , 36.8091748837919 , 36.75923851264 , 55.4924698264138"		
"0.109000000000002 , 36.7752096035931 , 36.9013896133441 , 55.5177522336256"		
"0.109100000000002 , 36.9266053524016 , 36.904138380888 , 55.6042973253565"		
"0.109200000000002 , 36.8627231009983 , 36.8389208167068 , 55.5635163474701"		
"0.109300000000002 , 36.8595236090656 , 36.8895196273232 , 55.5429906226332"		
"0.109400000000002 , 36.8769102803487 , 36.9042844493369 , 55.6519809741832"		
"0.109500000000001 , 36.888486949373 , 36.9378762579081 , 55.620620272108"		
"0.109600000000002 , 36.8278994792977 , 36.8389530157364 , 55.6029187643262"		
"0.109700000000002 , 36.9710079089271 , 36.9423755195205 , 55.665041913264"		
"0.109800000000002 , 37.0377080976341 , 37.0659347145292 , 55.8845665028753"		
"0.109900000000002 , 36.9829697063487 , 36.9979331931415 , 55.7995424779593"		
"0.110000000000002 , 37.1050562460505 , 37.1041518022749 , 55.9321776882863"		
"0.110100000000001 , 37.0335153495293 , 37.0128889892358 , 55.8764690864657"		
"0.110200000000002 , 36.972023046564 , 37.052100714398 , 55.8046701890578"		
"0.110300000000002 , 36.9865704652309 , 36.972266879937 , 55.8576984598606"		
"0.110400000000002 , 37.069824511048 , 37.0680909269975 , 55.9605041168732"		
"0.110500000000002 , 37.0985038598882 , 37.1339794956631 , 56.0763736337399"		
"0.110600000000002 , 37.0261219047421 , 37.0594853266187 , 55.9363709343198"		
"0.110700000000002 , 37.2011692844634 , 37.2624414956232 , 56.1318842421907"		
"0.110800000000001 , 37.1476564508848 , 37.1761882613366 , 56.1486502228588"		
"0.110900000000002 , 37.1841109120952 , 37.1507595031652 , 56.182979196183"		
"0.111000000000002 , 37.1676309864111 , 37.1930352712597 , 56.1587751358731"		
"0.111100000000002 , 37.1332095724651 , 37.1298840082798 , 56.1438543401769"		
"0.111200000000002 , 37.1669462176844 , 37.2213471535461 , 56.1622601178101"		
"0.111300000000002 , 37.2796228539573 , 37.212429451252 , 56.2554719488207"		
"0.111400000000002 , 37.2026034379021 , 37.2885761004782 , 56.3166857297721"		
"0.111500000000002 , 37.2329888075712 , 37.259130527465 , 56.2589467040734"		
"0.111600000000002 , 37.1834153131143 , 37.1772503974438 , 56.1638216879362"		
"0.111700000000002 , 37.1849013450961 , 37.246733163223 , 56.2819495774067"		
