# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.00750000000000139 , 6.39842547480956 , 6.30017064145862 , 8.7436708020635"		
"0.00760000000000143 , 6.36956888796335 , 6.39390812544462 , 8.78286157311412"		
"0.00770000000000147 , 6.53350614808605 , 6.47564194609043 , 8.95249547503531"		
"0.00780000000000151 , 6.49597694914793 , 6.58198906093207 , 9.04667566695386"		
"0.00790000000000155 , 6.53529308032676 , 6.51009066302141 , 9.11908006265506"		
"0.00800000000000134 , 6.64701772629742 , 6.56831143998208 , 9.09497151236123"		
"0.00810000000000138 , 6.70805953532721 , 6.80133345548115 , 9.23314331596327"		
"0.00820000000000142 , 6.57984669469363 , 6.63142824541661 , 9.1991691420669"		
"0.00830000000000146 , 6.6122115186731 , 6.58974917022131 , 9.22592075302247"		
"0.00840000000000149 , 6.88097616974903 , 6.89266441070545 , 9.52239609870348"		
"0.00850000000000153 , 6.99354009164942 , 6.97375773131615 , 9.62275789076821"		
"0.00860000000000157 , 6.91781457126363 , 6.87540107222451 , 9.54072222404373"		
"0.00870000000000137 , 6.92482754929991 , 6.83879396115203 , 9.59106123367632"		
"0.00880000000000141 , 6.91901814771449 , 6.94650239772336 , 9.69435023687559"		
"0.00890000000000144 , 7.00792012206344 , 7.0410239138508 , 9.77415555768499"		
"0.00900000000000148 , 7.07218050278694 , 7.06911449052999 , 9.9300145690264"		
"0.00910000000000152 , 7.06482642597378 , 7.10939798684974 , 9.92502603578896"		
"0.00920000000000156 , 7.23156534495241 , 7.28944738554236 , 10.1231912329976"		
"0.00930000000000135 , 7.27191218435023 , 7.2761231379702 , 10.132285835928"		
"0.00940000000000139 , 7.32307610202526 , 7.33494013344342 , 10.2092331193278"		
"0.00950000000000143 , 7.42019764556791 , 7.33506142457323 , 10.2890674455141"		
"0.00960000000000147 , 7.41630900349129 , 7.32530807567561 , 10.33500824379"		
"0.0097000000000015 , 7.49389049771118 , 7.3976540998077 , 10.40732349615"		
"0.00980000000000154 , 7.52033117486243 , 7.59586336521292 , 10.5195989147958"		
"0.00990000000000134 , 7.60212419145644 , 7.60893416964189 , 10.6636329738555"		
"0.0100000000000014 , 7.72128430493012 , 7.7253291790603 , 10.8327316157732"		
"0.0101000000000014 , 7.60186314993965 , 7.68416283654904 , 10.7436079718189"		
"0.0102000000000015 , 7.68790127618081 , 7.72196610763132 , 10.8994489936197"		
"0.0103000000000015 , 7.76442854343055 , 7.79377853214991 , 10.9664008403366"		
"0.0104000000000015 , 7.75654830471685 , 7.76263109570832 , 11.0004797590457"		
"0.0105000000000016 , 7.84671543943201 , 7.82634311435329 , 11.0568316064276"		
"0.0106000000000014 , 7.90530787874382 , 7.91790905859432 , 11.1709736463964"		
"0.0107000000000014 , 7.92054537664724 , 7.93670626037901 , 11.1994750737426"		
"0.0108000000000014 , 8.00097685054867 , 8.05817158958419 , 11.3002238413833"		
"0.0109000000000015 , 8.00740043070899 , 8.05414860455592 , 11.3128655165713"		
"0.0110000000000015 , 8.06425627761864 , 8.09070724775005 , 11.416721540678"		
"0.0111000000000016 , 8.07630720725655 , 8.10583271822665 , 11.5178003097307"		
"0.0112000000000014 , 8.17725340784529 , 8.1490379597861 , 11.621974769176"		
"0.0113000000000014 , 8.19369695915313 , 8.15396473678827 , 11.5633744913158"		
"0.0114000000000014 , 8.29256968278249 , 8.33314193354502 , 11.7458250010644"		
"0.0115000000000015 , 8.26473137679037 , 8.20672040488584 , 11.7965022237687"		
"0.0116000000000015 , 8.38349924953493 , 8.34763812543495 , 11.8786206026033"		
